ngram,log_prob
e,-2.116974305802607
t,-2.417794623916098
a,-2.496645248362473
o,-2.5676852552872518
i,-2.573761967045872
n,-2.629769203520013
s,-2.6958171182544497
r,-2.7442558598408766
h,-3.1595087861601705
l,-3.1604294954036973
d,-3.3128001327249628
c,-3.3486757306931914
u,-3.520650564279208
m,-3.6835202980909187
p,-3.7746674480023223
f,-3.821351773437218
g,-3.8547433177710246
y,-3.976573859356403
w,-4.13570293734972
b,-4.235423309416813
v,-4.472042882361819
k,-4.93932927536212
x,-6.032746359382795
j,-6.422709232801463
q,-6.727035309465229
z,-6.784283761793752
